scenario,object_type,id,max_depth_m,max_flow_cms,min_flow_cms,max_velocity_mps,max_abs_velocity_mps,max_fullness_ratio,max_capacity_ratio,backflow_count
base,pipe,sep_sewer_lateral_apartment_1,0.1023,0.0427,0.0393,1.182,1.182,0.2274,0.076,0
base,pipe,sep_sewer_lateral_apartment_2,0.1005,0.0405,0.0373,1.1403,1.1403,0.2233,0.0733,0
base,pipe,sep_storm_lateral_catch_basin_1,0.1877,0.1182,0.0,1.7822,1.7822,0.4172,0.2428,0
base,pipe,sep_storm_lateral_catch_basin_2,0.1993,0.1293,0.0,1.8351,1.8351,0.4428,0.2712,0
base,pipe,sep_storm_trunk,0.7125,0.7315,0.0,0.817,0.817,0.4453,0.274,0
base,pipe,sep_interceptor,0.9623,0.6887,0.277,0.5696,0.5696,0.6014,0.475,0
base,pipe,sep_storm_main_1,0.676,0.484,0.0,0.7597,0.7597,0.5633,0.4217,0
base,pipe,sep_storm_main_2,0.8233,0.7315,0.0,0.9428,0.9428,0.686,0.6027,0
base,pipe,sep_storm_main_to_trunk,0.5964,0.7315,0.0,1.3014,1.3014,0.497,0.3354,0
base,pipe,sep_sewer_main_1,0.3142,0.1012,0.0931,0.3908,0.3908,0.2992,0.1298,0
base,pipe,sep_sewer_main_2,0.4078,0.1845,0.1697,0.5486,0.5486,0.3884,0.2125,0
base,pipe,sep_sewer_main_to_interceptor,0.2887,0.1845,0.1697,0.775,0.775,0.2749,0.1103,0
base,pipe,storm_pump_discharge_pipe,0.5313,0.7315,0.0,1.2985,1.2985,0.3936,0.2178,0
base,pipe,treatment_effluent_pipe,0.8624,0.6887,0.277,0.7532,0.7532,0.6388,0.5298,0
base,pipe,comb_sewer_lateral_house_1,0.0948,0.0351,0.0323,1.0476,1.0476,0.2107,0.0652,0
base,pipe,comb_sewer_lateral_house_2,0.1005,0.0387,0.0356,1.0899,1.0899,0.2233,0.0733,0
base,pipe,comb_storm_lateral_catch_basin_1,0.1382,0.0648,0.0,1.3254,1.3254,0.3072,0.1364,0
base,pipe,comb_main_1,0.5278,0.2946,0.0393,0.5924,0.5924,0.4398,0.2678,0
base,pipe,comb_main_2,0.6254,0.5047,0.1072,0.8563,0.8563,0.5212,0.3659,0
base,pipe,overflow_to_interceptor_drop,0.4059,0.5047,0.1072,1.6667,1.6667,0.4272,0.2537,0
base,pipe,overflow_pipe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,pipe,comb_storm_lateral_catch_basin_2,0.1474,0.0717,0.0,1.3771,1.3771,0.3276,0.1542,0
base,asset,sep_catch_basin_1,0.2389,0.1182,0.0,0.0,0.0,0.1991,0.1991,0
base,asset,sep_catch_basin_2,0.2669,0.1293,0.0,0.0,0.0,0.2224,0.2224,0
base,asset,comb_catch_basin_1,0.1342,0.0648,0.0,0.0,0.0,0.1119,0.1119,0
base,asset,comb_catch_basin_2,0.1518,0.0717,0.0,0.0,0.0,0.1265,0.1265,0
base,asset,sep_sewer_manhole,0.6731,0.1845,0.1697,0.0,0.0,0.187,0.187,0
base,asset,sep_storm_manhole,1.6972,0.7315,0.0,0.0,0.0,0.5304,0.5304,0
base,asset,combined_manhole,1.127,0.5047,0.1072,0.0,0.0,0.322,0.322,0
base,asset,overflow_chamber,1.456,0.5047,0.1072,0.0,0.0,0.52,0.52,0
base,asset,storm_pump_station,1.5691,0.7315,0.0,0.0,0.0,0.4755,0.4755,0
base,asset,water_reclamation_center,1.675,0.6887,0.277,0.0,0.0,0.4187,0.4187,0
base,asset,overflow_outfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,asset,pump_outfall,0.2178,0.7315,0.0,0.0,0.0,0.2178,0.2178,0
base,asset,treated_outfall,0.5298,0.6887,0.277,0.0,0.0,0.5298,0.5298,0
overflow,pipe,sep_sewer_lateral_apartment_1,0.1133,0.0522,0.0481,1.3048,1.3048,0.2518,0.0929,0
overflow,pipe,sep_sewer_lateral_apartment_2,0.1112,0.0495,0.0455,1.2592,1.2592,0.2472,0.0896,0
overflow,pipe,sep_storm_lateral_catch_basin_1,0.2221,0.1612,0.0,2.0545,2.0545,0.4935,0.3311,0
overflow,pipe,sep_storm_lateral_catch_basin_2,0.2359,0.1762,0.0,2.114,2.114,0.5242,0.3698,0
overflow,pipe,sep_storm_trunk,0.8434,0.9975,0.0,0.9411,0.9411,0.5271,0.3736,0
overflow,pipe,sep_interceptor,1.4555,1.4491,0.3385,0.7923,0.7923,0.9097,0.9994,0
overflow,pipe,sep_storm_main_1,0.8021,0.66,0.0,0.8731,0.8731,0.6684,0.575,0
overflow,pipe,sep_storm_main_2,0.9784,0.9975,0.0,1.0817,1.0817,0.8153,0.8218,0
overflow,pipe,sep_storm_main_to_trunk,0.7068,0.9975,0.0,1.4974,1.4974,0.589,0.4573,0
overflow,pipe,sep_sewer_main_1,0.3491,0.1237,0.1138,0.4299,0.4299,0.3325,0.1586,0
overflow,pipe,sep_sewer_main_2,0.4542,0.2255,0.2075,0.602,0.602,0.4326,0.2597,0
overflow,pipe,sep_sewer_main_to_interceptor,0.3204,0.2255,0.2075,0.8534,0.8534,0.3052,0.1348,0
overflow,pipe,storm_pump_discharge_pipe,0.6281,0.9975,0.0,1.4979,1.4979,0.4652,0.297,0
overflow,pipe,treatment_effluent_pipe,1.2018,1.25,0.3385,0.981,0.981,0.8902,0.9615,0
overflow,pipe,comb_sewer_lateral_house_1,0.1048,0.0429,0.0395,1.1578,1.1578,0.233,0.0797,0
overflow,pipe,comb_sewer_lateral_house_2,0.1112,0.0473,0.0435,1.2035,1.2035,0.2471,0.0896,0
overflow,pipe,comb_storm_lateral_catch_basin_1,0.2622,0.2128,0.0,2.2962,2.2962,0.5826,0.4483,0
overflow,pipe,comb_main_1,1.1582,1.3171,0.0481,1.2066,1.2066,0.9651,1.1969,0
overflow,pipe,comb_main_2,1.208,1.8556,0.1311,1.6298,1.6298,1.0066,1.3452,0
overflow,pipe,overflow_to_interceptor_drop,0.8645,1.2279,0.1311,2.3337,2.3337,0.91,1.0,0
