linkId,sourceEditorId,sourceEditorType,sourceEditorName,pipeKind,kind,fromNode,toNode,lengthM,diameterM,baselineTailAbsFlowCms,blockedTailAbsFlowCms,flowReduction,baselineMaxFullness,blockedMaxFullness,upstreamDepthDelta,downstreamDepthDelta,reverseCount,uiReverseCount,status,issues
PIPE_COMB_MAIN_01,pipe_free_1781761867795,pipeSegment,합류식 본관 01,combined,CONDUIT,PIPE_COMB_MAIN_01_station_000,connector_1781771816146_102,2105.311684624702,0.6,0.0005025414181268588,1e-06,0.998010114263363,0.04425049445498849,0.044294845955462965,-2.040039912448862e-06,2.4443572288691584e-06,0,0,suspect,no_upstream_depth_response
PIPE_INTERCEPTOR_01,pipe_free_1781754392036,pipeSegment,차집관거 01,sewer,CONDUIT,PIPE_INTERCEPTOR_01_station_000,connector_1781772244702_108,1209.342196320028,1.0,9.647163909517671e-05,1e-06,,0.0028831985730090313,0.0021560930513585845,-1.561421509936521e-06,2.391834077640485e-07,0,0,inconclusive_no_baseline_flow,
PIPE_OVERFLOW_INTERCEPTOR_DROP_01,pipe_free_1781762361073,pipeSegment,월류 차집 연결관 01,combined,CONDUIT,CONN_COMB_04,connector_1781772175449_107,695.3328191829453,0.6,0.005576340187062457,1e-06,0.9998206709120222,0.021493910519433716,0.03640068453945469,9.936107729502215e-05,-1.1184991685856348e-05,0,0,suspect,no_upstream_depth_response
PIPE_OVERFLOW_OUTFALL_PIPE_01,pipe_free_1781762108006,pipeSegment,월류 방류관 01,overflow,CONDUIT,CONN_OVERFLOW_01,CONN_OVERFLOW_02,671.6903370371938,1.0,2.83101529790733e-07,2.83101529790733e-07,,0.0010635137532867078,0.0010635137532867078,0.0,0.0,0,0,inconclusive_no_baseline_flow,
PIPE_SEWER_LATERAL_H_01,pipe_free_1781708303838,pipeSegment,오수 연결관 수평 01,sewer,CONDUIT,CONN_SEWER_01,ELBOW_SEWER_01,28.0,0.3,0.0049999994599831555,1e-06,0.9997999999783993,0.10381118398494688,0.5004654908369189,0.23876631605179346,-0.010378698268229123,0,0,pass,
PIPE_SEWER_LATERAL_H_02,pipe_free_1781754189032,pipeSegment,오수 연결관 수평 02,sewer,CONDUIT,CONN_SEWER_02,ELBOW_SEWER_02,44.44216917210474,0.3,0.00499998464535842,1e-06,0.9997999993858124,0.09171466306986736,0.500338204694192,0.19368349657112685,-0.01052556077899892,0,0,pass,
PIPE_SEWER_LATERAL_H_03,pipe_free_1781761760089,pipeSegment,오수 연결관 수평 03,sewer,CONDUIT,CONN_SEWER_03,ELBOW_SEWER_03,65.34243848153164,0.3,0.004990192517767712,1e-06,0.9997996069297047,0.09884490074772022,0.4405020317493482,0.14702413429967884,-0.010854436038956842,0,0,pass,
PIPE_SEWER_LATERAL_H_04,pipeSegment_copy_1781761822423_1,pipeSegment,오수 연결관 수평 04,sewer,CONDUIT,CONN_SEWER_04,ELBOW_SEWER_04,61.03269636177538,0.3,0.005000000013287576,1e-06,0.9998000000005315,0.09480687513180852,0.45872467282156876,0.1548579502405725,-0.009589986737511769,0,0,pass,
PIPE_SEWER_LATERAL_V_01,pipe_free_1781708355304,pipeSegment,오수 연결관 수직 01,sewer,CONDUIT,ELBOW_SEWER_01,connector_1781770935874_97,292.02472955474957,0.3,0.004999998606707991,1e-06,0.9997999999442683,0.05078405458138992,0.16337819751387614,0.054766048547747415,-4.290347849716627e-05,0,0,pass,
PIPE_SEWER_LATERAL_V_02,pipe_free_1781708418875,pipeSegment,오수 연결관 수직 02,sewer,CONDUIT,ELBOW_SEWER_02,connector_1781771440709_98,293.7088317871094,0.3,0.0049999833785882766,1e-06,0.9997999993351413,0.05111880212712368,0.156368739446325,0.05186553174859597,-4.3183391660312685e-05,0,0,pass,
