scenario,sensor_type,id,max_depth_m,time_of_max_depth,max_flow_cms,time_of_max_flow,min_flow_cms,time_of_min_flow,max_velocity_mps,time_of_max_velocity,max_fullness_ratio,time_of_max_fullness,max_flooding_cms,time_of_max_flooding
base,link,CB1_CONN,0.20117,2026-06-09T01:21:00,0.06972,2026-06-09T01:20:00,3e-05,2026-06-09T00:01:00,1.22368,2026-06-09T01:20:00,0.59481,2026-06-09T01:21:00,0.0,2026-06-09T00:01:00
base,link,CB2_CONN,0.20648,2026-06-09T01:21:00,0.06969,2026-06-09T01:20:00,2e-05,2026-06-09T00:01:00,1.18524,2026-06-09T01:20:00,0.6138,2026-06-09T01:21:00,0.0,2026-06-09T00:01:00
base,link,CB3_CONN,0.2,2026-06-09T00:47:00,0.03555,2026-06-09T00:59:00,0.0,2026-06-09T00:01:00,1.13141,2026-06-09T00:59:00,1.0,2026-06-09T00:47:00,0.0,2026-06-09T00:01:00
base,link,CB4_CONN,0.26207,2026-06-09T01:23:00,0.06972,2026-06-09T01:20:00,3e-05,2026-06-09T00:01:00,0.91059,2026-06-09T01:20:00,0.80303,2026-06-09T01:23:00,0.0,2026-06-09T00:01:00
base,link,CB5_CONN,0.21155,2026-06-09T01:23:00,0.06968,2026-06-09T01:20:00,3e-05,2026-06-09T00:01:00,1.15856,2026-06-09T01:20:00,0.63189,2026-06-09T01:23:00,0.0,2026-06-09T00:01:00
base,link,STORM_MAIN_1,0.31644,2026-06-09T01:23:00,0.13754,2026-06-09T01:22:00,1e-05,2026-06-09T00:01:00,0.57936,2026-06-09T01:21:00,0.21082,2026-06-09T01:23:00,0.0,2026-06-09T00:01:00
base,link,STORM_MAIN_2,0.32796,2026-06-09T01:25:00,0.23791,2026-06-09T01:25:00,0.0,2026-06-09T00:01:00,0.94898,2026-06-09T01:25:00,0.22165,2026-06-09T01:25:00,0.0,2026-06-09T00:01:00
base,link,STORM_TO_PUMP,0.48731,2026-06-09T02:27:00,0.30419,2026-06-09T01:25:00,-0.00781,2026-06-09T02:24:00,1.01872,2026-06-09T01:09:00,0.48382,2026-06-09T02:27:00,0.0,2026-06-09T00:01:00
base,link,COMB_MAIN_1,0.26294,2026-06-09T01:23:00,0.13905,2026-06-09T01:23:00,0.02463,2026-06-09T00:01:00,0.75853,2026-06-09T01:22:00,0.16218,2026-06-09T01:23:00,0.0,2026-06-09T00:01:00
base,link,INTERCEPTOR,0.33186,2026-06-09T01:38:00,0.1372,2026-06-09T01:27:00,0.02141,2026-06-09T00:01:00,0.65593,2026-06-09T00:16:00,0.2901,2026-06-09T01:38:00,0.0,2026-06-09T00:01:00
base,link,CSO_WEIR,0.0,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,1.0,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00
base,link,OVF_PIPE,0.47498,2026-06-09T01:40:00,0.0,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,0.46812,2026-06-09T01:40:00,0.0,2026-06-09T00:01:00
base,link,PUMP_STATION,0.0,2026-06-09T00:01:00,0.38524,2026-06-09T00:54:00,0.0,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,1.0,2026-06-09T00:54:00,0.0,2026-06-09T00:01:00
base,link,PUMP_FORCE_OUT,0.76326,2026-06-09T01:40:00,0.37007,2026-06-09T00:55:00,0.0,2026-06-09T00:01:00,1.627,2026-06-09T00:55:00,0.98333,2026-06-09T01:40:00,0.0,2026-06-09T00:01:00
